x,y,model,repetition,subsample,train_dataset,eval_dataset
6.0,0.5270960063475272,lgbm  ,1,3,aumc,aumc
6.0,0.5151319944423394,lgbm  ,1,4,aumc,aumc
6.0,0.5153165676734488,lgbm  ,1,5,aumc,aumc
6.0,0.5269802241962775,lgbm  ,1,6,aumc,aumc
6.0,0.5164669138184959,lgbm  ,1,7,aumc,aumc
6.0,0.49644549763033174,lgbm  ,1,8,aumc,aumc
6.0,0.5000476088457235,lgbm  ,1,9,aumc,aumc
7.75,0.47480027197008323,lgbm  ,2,0,aumc,aumc
7.75,0.490563469739588,lgbm  ,2,1,aumc,aumc
7.75,0.5038038277511961,lgbm  ,2,2,aumc,aumc
7.75,0.48263523006673686,lgbm  ,2,3,aumc,aumc
7.75,0.4479432624113475,lgbm  ,2,4,aumc,aumc
7.75,0.46825396825396826,lgbm  ,2,5,aumc,aumc
7.75,0.4848236440978376,lgbm  ,2,6,aumc,aumc
7.75,0.46309321691325084,lgbm  ,2,7,aumc,aumc
7.75,0.4430464066316334,lgbm  ,2,8,aumc,aumc
7.75,0.4609468877673636,lgbm  ,2,9,aumc,aumc
6.0,0.5138719666971265,lgbm  ,3,0,aumc,aumc
6.0,0.5218148031825796,lgbm  ,3,1,aumc,aumc
6.0,0.5087450863312932,lgbm  ,3,2,aumc,aumc
5.75,0.497572758336279,lgbm  ,3,3,aumc,aumc
6.0,0.49275294666822267,lgbm  ,3,4,aumc,aumc
6.0,0.48574539021569024,lgbm  ,3,5,aumc,aumc
6.0,0.5151932644469959,lgbm  ,3,6,aumc,aumc
5.75,0.4964114832535885,lgbm  ,3,7,aumc,aumc
5.75,0.4859116953151331,lgbm  ,3,8,aumc,aumc
5.75,0.5101027609260864,lgbm  ,3,9,aumc,aumc
6.0,0.523173342274263,lgbm  ,4,0,aumc,aumc
6.0,0.5396350665386198,lgbm  ,4,1,aumc,aumc
6.0,0.5303511838550771,lgbm  ,4,2,aumc,aumc
6.0,0.5079839591687934,lgbm  ,4,3,aumc,aumc
6.0,0.5222684543072893,lgbm  ,4,4,aumc,aumc
6.0,0.5053287463612962,lgbm  ,4,5,aumc,aumc
6.0,0.5127461910070605,lgbm  ,4,6,aumc,aumc
6.0,0.5116904256893404,lgbm  ,4,7,aumc,aumc
6.0,0.4911742656580113,lgbm  ,4,8,aumc,aumc
6.0,0.502858776443682,lgbm  ,4,9,aumc,aumc
6.5,0.49951352634076884,lr    ,0,0,aumc,aumc
6.5,0.4970859184057153,lr    ,0,1,aumc,aumc
6.0,0.4940295169946332,lr    ,0,2,aumc,aumc
6.5,0.48730058299814705,lr    ,0,3,aumc,aumc
6.5,0.47864234837038633,lr    ,0,4,aumc,aumc
6.0,0.4654426359666534,lr    ,0,5,aumc,aumc
6.0,0.49873530216024065,lr    ,0,6,aumc,aumc
6.5,0.4910321100917431,lr    ,0,7,aumc,aumc
6.0,0.44465579710144926,lr    ,0,8,aumc,aumc
6.0,0.4613314613314613,lr    ,0,9,aumc,aumc
6.5,0.4778653263684649,lr    ,1,0,aumc,aumc
6.5,0.48926599171652096,lr    ,1,1,aumc,aumc
6.5,0.4976552643481159,lr    ,1,2,aumc,aumc
6.5,0.4800110741971207,lr    ,1,3,aumc,aumc
6.5,0.4712392213779561,lr    ,1,4,aumc,aumc
6.5,0.4657782782782782,lr    ,1,5,aumc,aumc
6.5,0.49517995615999244,lr    ,1,6,aumc,aumc
6.5,0.4822809998658498,lr    ,1,7,aumc,aumc
6.5,0.4445299145299145,lr    ,1,8,aumc,aumc
6.5,0.46363335812877093,lr    ,1,9,aumc,aumc
5.75,0.48128306878306876,lr    ,2,0,aumc,aumc
5.75,0.48464118041582827,lr    ,2,1,aumc,aumc
5.75,0.481241044858371,lr    ,2,2,aumc,aumc
5.5,0.4745775679279516,lr    ,2,3,aumc,aumc
5.75,0.46278742661448136,lr    ,2,4,aumc,aumc
5.75,0.46485869431074905,lr    ,2,5,aumc,aumc
5.75,0.5013274971297359,lr    ,2,6,aumc,aumc
5.75,0.47236911967717954,lr    ,2,7,aumc,aumc
5.75,0.43626039232733793,lr    ,2,8,aumc,aumc
5.0,0.4677357689039932,lr    ,2,9,aumc,aumc
6.5,0.4869763452509931,lr    ,3,0,aumc,aumc
6.5,0.5012675180561534,lr    ,3,1,aumc,aumc
6.5,0.5049508554787041,lr    ,3,2,aumc,aumc
6.0,0.49161490683229814,lr    ,3,3,aumc,aumc
6.5,0.4823920265780731,lr    ,3,4,aumc,aumc
6.5,0.4823920265780731,lr    ,3,5,aumc,aumc
6.5,0.5100267379679144,lr    ,3,6,aumc,aumc
6.5,0.48584651329978423,lr    ,3,7,aumc,aumc
6.5,0.45969428801287204,lr    ,3,8,aumc,aumc
6.5,0.48244506468190673,lr    ,3,9,aumc,aumc
5.75,0.4768795420927391,lr    ,4,0,aumc,aumc
5.75,0.4847176079734219,lr    ,4,1,aumc,aumc
5.75,0.4858031763146663,lr    ,4,2,aumc,aumc
6.0,0.470072217502124,lr    ,4,3,aumc,aumc
5.75,0.4725034199726402,lr    ,4,4,aumc,aumc
5.75,0.45577378737736696,lr    ,4,5,aumc,aumc
