,AUC,rep,subsample,model,train_dataset,eval_dataset
0,0.8881433857790989,0,3,lr,aumc,aumc
0,0.8845149897444584,0,4,lr,aumc,aumc
0,0.8807268731649167,0,5,lr,aumc,aumc
0,0.8908050813877697,0,6,lr,aumc,aumc
0,0.8809261700772292,0,7,lr,aumc,aumc
0,0.8723743102013518,0,8,lr,aumc,aumc
0,0.8718842402368387,0,9,lr,aumc,aumc
0,0.8868613947892051,1,0,lr,aumc,aumc
0,0.8871130746047889,1,1,lr,aumc,aumc
0,0.887729657802842,1,2,lr,aumc,aumc
0,0.8843853246525962,1,3,lr,aumc,aumc
0,0.8818413409752199,1,4,lr,aumc,aumc
0,0.8768806360929537,1,5,lr,aumc,aumc
0,0.8880927691014951,1,6,lr,aumc,aumc
0,0.8800184922322137,1,7,lr,aumc,aumc
0,0.8700990058221064,1,8,lr,aumc,aumc
0,0.8703706434931361,1,9,lr,aumc,aumc
0,0.8864467782580152,2,0,lr,aumc,aumc
0,0.8864743763980546,2,1,lr,aumc,aumc
0,0.8846212282580632,2,2,lr,aumc,aumc
0,0.8822485460552227,2,3,lr,aumc,aumc
0,0.8798227048999944,2,4,lr,aumc,aumc
0,0.8771792332069032,2,5,lr,aumc,aumc
0,0.8864711119345532,2,6,lr,aumc,aumc
0,0.8756089533085084,2,7,lr,aumc,aumc
0,0.8689948823697172,2,8,lr,aumc,aumc
0,0.8687340734459917,2,9,lr,aumc,aumc
0,0.7226933861423346,1,0,mews,aumc,aumc
0,0.7215210331215478,1,1,mews,aumc,aumc
0,0.7216733162154895,1,2,mews,aumc,aumc
0,0.7337039363919309,1,3,mews,aumc,aumc
0,0.7155828620247713,1,4,mews,aumc,aumc
0,0.713786971620159,1,5,mews,aumc,aumc
0,0.71639036414874,1,6,mews,aumc,aumc
0,0.7170942527705187,1,7,mews,aumc,aumc
0,0.7120696131836846,1,8,mews,aumc,aumc
0,0.707389722435048,1,9,mews,aumc,aumc
0,0.7226933861423346,2,0,mews,aumc,aumc
0,0.7215210331215478,2,1,mews,aumc,aumc
0,0.7216733162154895,2,2,mews,aumc,aumc
0,0.7337039363919309,2,3,mews,aumc,aumc
0,0.7155828620247713,2,4,mews,aumc,aumc
0,0.713786971620159,2,5,mews,aumc,aumc
0,0.71639036414874,2,6,mews,aumc,aumc
0,0.7170942527705187,2,7,mews,aumc,aumc
0,0.7120696131836846,2,8,mews,aumc,aumc
0,0.707389722435048,2,9,mews,aumc,aumc
0,0.7226933861423346,3,0,mews,aumc,aumc
0,0.7215210331215478,3,1,mews,aumc,aumc
0,0.7216733162154895,3,2,mews,aumc,aumc
0,0.7337039363919309,3,3,mews,aumc,aumc
0,0.7155828620247713,3,4,mews,aumc,aumc
0,0.713786971620159,3,5,mews,aumc,aumc
0,0.71639036414874,3,6,mews,aumc,aumc
