,AUPRC,rep,subsample,model,train_dataset,eval_dataset
0,0.4411650439676603,4,9,AttentionModel,MIMIC+Hirid+AUMC,eicu
0,0.41419546922378936,0,0,AttentionModel,MIMIC+Hirid+AUMC,eicu
0,0.43155608089667363,0,1,AttentionModel,MIMIC+Hirid+AUMC,eicu
0,0.4266514520000293,0,2,AttentionModel,MIMIC+Hirid+AUMC,eicu
0,0.44757053546774217,0,3,AttentionModel,MIMIC+Hirid+AUMC,eicu
0,0.42923184906285183,0,4,AttentionModel,MIMIC+Hirid+AUMC,eicu
0,0.43601575122250114,0,5,AttentionModel,MIMIC+Hirid+AUMC,eicu
0,0.4270509261077175,0,6,AttentionModel,MIMIC+Hirid+AUMC,eicu
0,0.45010970127680067,0,7,AttentionModel,MIMIC+Hirid+AUMC,eicu
0,0.45614658948448805,0,8,AttentionModel,MIMIC+Hirid+AUMC,eicu
0,0.4335119922675545,0,9,AttentionModel,MIMIC+Hirid+AUMC,eicu
0,0.42509835160925635,1,0,AttentionModel,MIMIC+Hirid+AUMC,eicu
0,0.4397876713511071,1,1,AttentionModel,MIMIC+Hirid+AUMC,eicu
0,0.43241323540918186,1,2,AttentionModel,MIMIC+Hirid+AUMC,eicu
0,0.45638347911562804,1,3,AttentionModel,MIMIC+Hirid+AUMC,eicu
0,0.4437428739058067,1,4,AttentionModel,MIMIC+Hirid+AUMC,eicu
0,0.44461372571038776,1,5,AttentionModel,MIMIC+Hirid+AUMC,eicu
0,0.4504884486069757,1,6,AttentionModel,MIMIC+Hirid+AUMC,eicu
0,0.46357731149417936,1,7,AttentionModel,MIMIC+Hirid+AUMC,eicu
0,0.46273044018094656,1,8,AttentionModel,MIMIC+Hirid+AUMC,eicu
0,0.44196673612809156,1,9,AttentionModel,MIMIC+Hirid+AUMC,eicu
0,0.4206517691244301,2,0,AttentionModel,MIMIC+Hirid+AUMC,eicu
0,0.4293206832677517,2,1,AttentionModel,MIMIC+Hirid+AUMC,eicu
0,0.4351976014105783,2,2,AttentionModel,MIMIC+Hirid+AUMC,eicu
0,0.4400101303371152,2,3,AttentionModel,MIMIC+Hirid+AUMC,eicu
0,0.4302285990866516,2,4,AttentionModel,MIMIC+Hirid+AUMC,eicu
0,0.43390076970638375,2,5,AttentionModel,MIMIC+Hirid+AUMC,eicu
0,0.43313203231430186,2,6,AttentionModel,MIMIC+Hirid+AUMC,eicu
0,0.45750438674793314,2,7,AttentionModel,MIMIC+Hirid+AUMC,eicu
0,0.4489844411350783,2,8,AttentionModel,MIMIC+Hirid+AUMC,eicu
0,0.4296773376701751,2,9,AttentionModel,MIMIC+Hirid+AUMC,eicu
0,0.5613558124002939,0,0,AttentionModel,MIMIC+Hirid+EICU,aumc
0,0.5277056754648176,0,1,AttentionModel,MIMIC+Hirid+EICU,aumc
0,0.5504579712330739,0,2,AttentionModel,MIMIC+Hirid+EICU,aumc
0,0.5749169478729157,0,3,AttentionModel,MIMIC+Hirid+EICU,aumc
0,0.5750703911134798,0,4,AttentionModel,MIMIC+Hirid+EICU,aumc
0,0.5871907936071105,0,5,AttentionModel,MIMIC+Hirid+EICU,aumc
0,0.5330397503872268,0,6,AttentionModel,MIMIC+Hirid+EICU,aumc
0,0.5798682022734352,0,7,AttentionModel,MIMIC+Hirid+EICU,aumc
0,0.5378242188458517,0,8,AttentionModel,MIMIC+Hirid+EICU,aumc
0,0.5356940160557284,0,9,AttentionModel,MIMIC+Hirid+EICU,aumc
0,0.5356207752397518,2,0,AttentionModel,MIMIC+Hirid+EICU,aumc
0,0.5063697775789533,2,1,AttentionModel,MIMIC+Hirid+EICU,aumc
0,0.5375872525856282,2,2,AttentionModel,MIMIC+Hirid+EICU,aumc
0,0.5583049175643273,2,3,AttentionModel,MIMIC+Hirid+EICU,aumc
0,0.5484150025849494,2,4,AttentionModel,MIMIC+Hirid+EICU,aumc
0,0.5467455055857838,2,5,AttentionModel,MIMIC+Hirid+EICU,aumc
0,0.49550752969758616,2,6,AttentionModel,MIMIC+Hirid+EICU,aumc
0,0.5419228336623062,2,7,AttentionModel,MIMIC+Hirid+EICU,aumc
0,0.4991165825409528,2,8,AttentionModel,MIMIC+Hirid+EICU,aumc
0,0.5199775609500255,2,9,AttentionModel,MIMIC+Hirid+EICU,aumc
0,0.5297146759789044,3,0,AttentionModel,MIMIC+Hirid+EICU,aumc
0,0.5321957398507262,3,1,AttentionModel,MIMIC+Hirid+EICU,aumc
0,0.5404856961804393,3,2,AttentionModel,MIMIC+Hirid+EICU,aumc
0,0.5452682704664238,3,3,AttentionModel,MIMIC+Hirid+EICU,aumc
0,0.5621216841443817,3,4,AttentionModel,MIMIC+Hirid+EICU,aumc
0,0.572825497157003,3,5,AttentionModel,MIMIC+Hirid+EICU,aumc
0,0.5251984778456334,3,6,AttentionModel,MIMIC+Hirid+EICU,aumc
0,0.5521518126043162,3,7,AttentionModel,MIMIC+Hirid+EICU,aumc
0,0.5163486945844779,3,8,AttentionModel,MIMIC+Hirid+EICU,aumc
0,0.5171905476082745,3,9,AttentionModel,MIMIC+Hirid+EICU,aumc
0,0.5229011424655117,1,0,AttentionModel,MIMIC+Hirid+EICU,aumc
0,0.5486616550789107,1,1,AttentionModel,MIMIC+Hirid+EICU,aumc
0,0.5334948999619823,1,2,AttentionModel,MIMIC+Hirid+EICU,aumc
0,0.5431365742149707,1,3,AttentionModel,MIMIC+Hirid+EICU,aumc
0,0.5568418939238454,1,4,AttentionModel,MIMIC+Hirid+EICU,aumc
0,0.5649769135154749,1,5,AttentionModel,MIMIC+Hirid+EICU,aumc
0,0.5230333248742076,1,6,AttentionModel,MIMIC+Hirid+EICU,aumc
0,0.5458405615361294,1,7,AttentionModel,MIMIC+Hirid+EICU,aumc
0,0.5224235964541716,1,8,AttentionModel,MIMIC+Hirid+EICU,aumc
0,0.5112815673606117,1,9,AttentionModel,MIMIC+Hirid+EICU,aumc
0,0.4897453021382483,4,0,AttentionModel,MIMIC+Hirid+EICU,aumc
0,0.48207964993879515,4,1,AttentionModel,MIMIC+Hirid+EICU,aumc
0,0.4895312036615498,4,2,AttentionModel,MIMIC+Hirid+EICU,aumc
0,0.5100475100535536,4,3,AttentionModel,MIMIC+Hirid+EICU,aumc
0,0.5232979304724257,4,4,AttentionModel,MIMIC+Hirid+EICU,aumc
0,0.5323386845891088,4,5,AttentionModel,MIMIC+Hirid+EICU,aumc
0,0.4762627651775575,4,6,AttentionModel,MIMIC+Hirid+EICU,aumc
0,0.5148232961483789,4,7,AttentionModel,MIMIC+Hirid+EICU,aumc
0,0.4817425049210283,4,8,AttentionModel,MIMIC+Hirid+EICU,aumc
0,0.4782844560564433,4,9,AttentionModel,MIMIC+Hirid+EICU,aumc
